ra,dec,Lens Name,zs,zl,RA (J2000),Dec (J2000),E(B-V),ms (mag),ml (mag),FGHz (mJy),Nim,"size ("")",dt (days),sigma (km/s),img_path,Name,Discovery,Discovery Date,Lens Kind,Lens Grade,Description,N Images,Einstein_R,Einstein_R quality,Stellar_v_disp,Stellar_v_disp_err,Ra(deg)_ml,Dec(deg)_ml,Alternate Names,isReal,Target
158.392,7.190416666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
169.57083333333333,7.7660277777777775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
43.18838,0.6662100000000001,MG1549+3047,1.17,0.11,237.30154166666662,30.787944444444445,0.028999999999999998,H=20.52/1,I=16.70,F5=185,R,1.7,,227±18,"['MG1549K.gif', 'MG1549I.gif', 'MG1549V.gif', 'MG1549.gif', 'MG1549H.gif']",,,,,,,,,,,,,,,1,1
319.21145833333327,2.4296944444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
340.12641666666667,3.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
350.41999999999996,5.460111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
146.73617,10.11467,WFI2026-4536,2.23,0.66,306.5434583333333,-45.607527777777776,0.040999999999999995,i=16.18/4,i=,,4,1.34,,,"['WFI2026H.gif', 'WFI2026Hcc.gif']",,,,,,,,,,,,,,,1,1
182.73816666666664,9.907111111111112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
151.10375,12.489527777777777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
213.9433333333333,11.494833333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
208.2764583333333,11.634638888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
210.39812499999996,15.223777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
253.67429166666662,13.772777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
