author,title,discovery,link,id_system,id_ref
Inada et al. 2008 [AstronJ135(2008)496],The Sloan Digital Sky Survey Quasar Lens Search. II. Statistical Lens Sample from the Third Data Release,,http://admin.masterlens.org/citation.php?referenceID=64&,122,93
Eigenbrod et al. 2007 [A&A465(2007)51],COSMOGRAIL:  the COSmological MOnitoring of GRAvItational Lenses. VI. Redshift of the lensing galaxy in seven gravitationally lensed quasars,,http://admin.masterlens.org/citation.php?referenceID=262&,122,94
Trump et al. 2006 [ApJS165(2006)1],A Catalog of Broad Absorption Line Quasars from the Sloan Digital Sky Survey Third Data Release,,http://admin.masterlens.org/citation.php?referenceID=976&,122,95
Inada et al. 2005 [AstronJ130(2005)1967],SDSS J024634.11-082536.2: A New Gravitationally Lensed Quasar from the Sloan Digital Sky Survey,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=3&,122,96
Auger et al. 2009 [ApJ705(2009)1099],"The Sloan Lens ACS Survey. IX. Colors, Lensing, and Stellar Masses of Early-Type Galaxies",,http://admin.masterlens.org/citation.php?referenceID=20&,123,97
Newton et al. 2009 [ApJ696(2009)1125],Enhanced Lensing Rate by Clustering of Massive Galaxies: Newly Discovered Systems in the Slacs Fields,,http://admin.masterlens.org/citation.php?referenceID=19&,123,98
Bolton et al. 2008 [ApJ682(2008)964],The Sloan Lens ACS Survey. V. The Full ACS Strong-Lens Sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=229&,123,99
Auger et al. 2009 [ApJ705(2009)1099],"The Sloan Lens ACS Survey. IX. Colors, Lensing, and Stellar Masses of Early-Type Galaxies",,http://admin.masterlens.org/citation.php?referenceID=20&,124,100
Newton et al. 2009 [ApJ696(2009)1125],Enhanced Lensing Rate by Clustering of Massive Galaxies: Newly Discovered Systems in the Slacs Fields,,http://admin.masterlens.org/citation.php?referenceID=19&,124,101
Bolton et al. 2008 [ApJ682(2008)964],The Sloan Lens ACS Survey. V. The Full ACS Strong-Lens Sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=229&,124,102
More et al. 2011 [ApJ734(2011)69],Gravitational Lens Candidates in the E-CDFS,,http://admin.masterlens.org/citation.php?referenceID=138&,125,103
Blakeslee et al. 2004 [ApJL602(2004)L9],Advanced Camera for Surveys Observations of a Strongly Lensed Arc in a Field Elliptical Galaxy,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=164&,125,104
Mosquera et al. 2011 [ApJ738(2011)96],The Microlensing Properties of a Sample of 87 Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=238&,126,105
Fadely et al. 2011 [AstronJ141(2011)101],Near-infrared K and L' Flux Ratios in Six Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=756&,126,106
Chantry et al. 2010 [A&A522(2010)A95],COSMOGRAIL:  the COSmological MOnitoring of GRAvItational Lenses. VIII. Deconvolution of high resolution near-IR images and simple mass models for 7 gravitationally lensed quasars,,http://admin.masterlens.org/citation.php?referenceID=239&,126,107
Lagattuta et al. 2010 [ApJL716(2010)L185],"Adaptive Optics Observations of B0128+437: A Low-mass, High-redshift Gravitational Lens",,http://admin.masterlens.org/citation.php?referenceID=72&,126,108
Anguita et al. 2009 [A&A507(2009)35],COSMOS 5921+0638: characterization and analysis of a new strong gravitationally lensed AGN,,http://admin.masterlens.org/citation.php?referenceID=14&,126,109
Minezaki et al. 2009 [ApJ697(2009)610],Subaru Mid-Infrared Imaging of the Quadruple Lenses. II. Unveiling Lens Structure of MG0414+0534 and Q2237+030,,http://admin.masterlens.org/citation.php?referenceID=315&,126,110
More et al. 2009 [MNRAS394(2009)174],The role of luminous substructure in the gravitational lens system MG 2016+112,,http://admin.masterlens.org/citation.php?referenceID=159&,126,111
Ostman et al. 2008 [A&A485(2008)403],Extinction properties of lensing galaxies,,http://admin.masterlens.org/citation.php?referenceID=456&,126,112
McKean et al. 2007 [MNRAS378(2007)109],High-resolution imaging of the anomalous flux ratio gravitational lens system CLASS B2045+265: dark or luminous satellites?,,http://admin.masterlens.org/citation.php?referenceID=100&,126,113
Saha et al. 2006 [ApJ653(2006)936],Gravitational Lensing Model Degeneracies: Is Steepness All-Important?,,http://admin.masterlens.org/citation.php?referenceID=203&,126,114
Saha et al. 2003 [AstronJ125(2003)2769],Qualitative Theory for Lensed QSOs,,http://admin.masterlens.org/citation.php?referenceID=482&,126,115
Winn et al. 2002 [ApJ564(2002)143],PMN J0134-0931: A Gravitationally Lensed Quasar with Unusual Radio Morphology,,http://admin.masterlens.org/citation.php?referenceID=254&,126,116
Augusto et al. 2001 [MNRAS326(2001)1007],B2114+022: a distant radio source gravitationally lensed by a starburst galaxy,,http://admin.masterlens.org/citation.php?referenceID=104&,126,117
Ros et al. 2000 [A&A362(2000)845],VLBI imaging of the gravitational lens MG J0414+0534,,http://admin.masterlens.org/citation.php?referenceID=314&,126,118
Kochanek et al. 2000 [ApJ543(2000)131],The Fundamental Plane of Gravitational Lens Galaxies and The Evolution of Early-Type Galaxies in Low-Density Environments,,http://admin.masterlens.org/citation.php?referenceID=302&,126,119
Kochanek et al. 2000 [ApJ535(2000)692],The Infrared Einstein Ring in the Gravitational Lens MG J1131+0456 and the Death of the Dusty Lens Hypothesis,,http://admin.masterlens.org/citation.php?referenceID=312&,126,120
Cohen et al. 2000 [ApJ545(2000)578],"Further Investigation of the Time Delay, Magnification Ratios, and Variability in the Gravitational Lens 0218+357",,http://admin.masterlens.org/citation.php?referenceID=126&,126,121
Tonry et al. 1999 [AstronJ117(1999)2034],Redshifts of the Gravitational Lenses MG 0414+0534 and MG 0751+2716,,http://admin.masterlens.org/citation.php?referenceID=248&,126,122
Fassnacht et al. 1999 [ApJ527(1999)498],A Determination of H_0 with the CLASS Gravitational Lens B1608+656. I. Time Delay Measurements with the VLA,,http://admin.masterlens.org/citation.php?referenceID=89&,126,123
Xanthopoulos et al. 1998 [MNRAS300(1998)649],The new gravitational lens system B1030+074,,http://admin.masterlens.org/citation.php?referenceID=105&,126,124
Jackson et al. 1998 [MNRAS296(1998)483],B0712+472: a new radio four-image gravitational lens,,http://admin.masterlens.org/citation.php?referenceID=75&,126,125
Crampton et al. 1998 [AstronJ115(1998)1383],Detection of the Galaxy Lensing the Doubly Imaged Quasar SBS 1520+530,,http://admin.masterlens.org/citation.php?referenceID=174&,126,126
King et al. 1998 [MNRAS295(1998)L41],A complete infrared Einstein ring in the gravitational lens system B1938 + 666,,http://admin.masterlens.org/citation.php?referenceID=110&,126,127
Lehar et al. 1997 [AstronJ114(1997)48],The Gravitationally Lensed Radio Source MG 0751+2716,,http://admin.masterlens.org/citation.php?referenceID=250&,126,128
King et al. 1997 [MNRAS289(1997)450],Multifrequency radio observations of the gravitational lens system 1938 + 666,,http://admin.masterlens.org/citation.php?referenceID=109&,126,129
Turner et al. 1989 [BAAS21(1989)718],MG0414+0534: A Candidate Gravitational Lens,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=257&,126,130
Fadely et al. 2012 [MNRAS419(2012)936],Substructure in the lens HE 0435-1223,,http://admin.masterlens.org/citation.php?referenceID=168&,127,131
Fadely et al. 2011 [AstronJ141(2011)101],Near-infrared K and L' Flux Ratios in Six Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=756&,127,132
Courbin et al. 2011 [A&A536(2011)A53],"COSMOGRAIL:  the COSmological MOnitoring of GRAvItational Lenses. IX. Time delays, lens dynamics and baryonic fraction in HE 0435-1223",,http://admin.masterlens.org/citation.php?referenceID=167&,127,133
Mediavilla et al. 2009 [ApJ706(2009)1451],Microlensing-based Estimate of the Mass Fraction in Compact Objects in Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=764&,127,134
Ostman et al. 2008 [A&A485(2008)403],Extinction properties of lensing galaxies,,http://admin.masterlens.org/citation.php?referenceID=456&,127,135
Eigenbrod et al. 2006 [A&A451(2006)759],COSMOGRAIL:  the COSmological MOnitoring of GRAvItational Lenses. III. Redshift of the lensing galaxy in eight gravitationally lensed quasars,,http://admin.masterlens.org/citation.php?referenceID=263&,127,136
Ofek et al. 2006 [ApJ641(2006)70],Spectroscopic Redshifts for Seven Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=236&,127,137
Wisotzki et al. 2002 [A&A395(2002)17],HE 0435-1223: A wide separation quadruple QSO and gravitational lens,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=166&,127,138
Merten et al. 2011 [MNRAS417(2011)333],Creation of cosmic structure in the complex galaxy cluster merger Abell 2744,,http://admin.masterlens.org/citation.php?referenceID=2950&,128,139
Zitrin et al. 2011 [MNRAS410(2011)1939],Strong-lensing analysis of a complete sample of 12 MACS clusters at z > 0.5: mass models and Einstein radii,,http://admin.masterlens.org/citation.php?referenceID=289&,128,140
Coe et al. 2010 [ApJ723(2010)1678],A High-resolution Mass Map of Galaxy Cluster Substructure: LensPerfect Analysis of A1689,,http://admin.masterlens.org/citation.php?referenceID=2998&,128,141
Koester et al. 2010 [ApJL723(2010)L73],Two Lensed z=3 Lyman Break Galaxies Discovered in the SDSS Giant Arcs Survey,,http://admin.masterlens.org/citation.php?referenceID=219&,128,142
Gonzalez et al. 2009 [ApJ691(2009)525],A Multiply Imaged Luminous Infrared Galaxy Behind the Bullet Cluster (1E0657-56),,http://admin.masterlens.org/citation.php?referenceID=50&,128,143
Bradac et al. 2009 [ApJ706(2009)1201],Focusing Cosmic Telescopes: Exploring Redshift z ~ 5-6 Galaxies with the Bullet Cluster 1E0657 - 56,,http://admin.masterlens.org/citation.php?referenceID=51&,128,144
